SR. NO.,District,Taluka,Village Name
450,Osmanabad,Washi,Isrupwadi
451,Osmanabad,Washi,Bori
452,Osmanabad,Washi,Nandgaon
453,Osmanabad,Washi,Kadaknathwadi
454,Osmanabad,Washi,Masobachiwadi
455,Osmanabad,Washi,Gojwada
456,Osmanabad,Washi,Zinnar
457,Osmanabad,Washi,Mandwa
458,Osmanabad,Washi,Sonarwadi
459,Osmanabad,Washi,Dasmegaon
460,Osmanabad,Washi,Tandulwadi
461,Osmanabad,Washi,Javlka
462,Osmanabad,Washi,Kanheri
463,Osmanabad,Washi,Pardi
464,Osmanabad,Washi,Sarmkundi
465,Osmanabad,Washi,Yashvandi
466,Osmanabad,Washi,Vijora
467,Osmanabad,Washi,Shelgaon
468,Osmanabad,Washi,Ghatpimpri
469,Osmanabad,Washi,Indapur
470,Osmanabad,Washi,Bavi
471,Satara,Khataw,Vaduj
472,Satara,Khataw,Satewadi
473,Satara,Khataw,Naykachiwadi
474,Satara,Khataw,Umbarde
475,Satara,Khataw,Ganeshwadi
476,Satara,Khataw,Ambwade
477,Satara,Khataw,Gursale
478,Satara,Khataw,Pedgaon
479,Satara,Khataw,Mandve
480,Satara,Khataw,Hingane
481,Satara,Khataw,Tadvane
482,Satara,Khataw,Si. Kuroli
483,Satara,Khataw,Wakeshwar
484,Satara,Khataw,Bhurkwadi
485,Satara,Khataw,Palsi
486,Satara,Khataw,Shirswadi
487,Satara,Khataw,Waklwadi
488,Satara,Khataw,Pusegaon
489,Satara,Khataw,Vissapur
490,Satara,Khataw,Revalkarwaadi
491,Satara,Khataw,Ner
492,Satara,Khataw,Vardngad
493,Satara,Khataw,Pawarwadi
494,Satara,Khataw,Phadtarwadi (Ner)
495,Satara,Khataw,Lalgun
496,Satara,Khataw,Nagnathwadi
497,Satara,Khataw,Navalewadi
498,Satara,Khataw,Shindewadi
499,Satara,Khataw,Diskal
500,Satara,Khataw,Mol
501,Satara,Khataw,Manjarwadi
502,Satara,Khataw,Garwadi
503,Satara,Khataw,Chinchini
504,Satara,Khataw,Anpatwadi
505,Satara,Khataw,Kalewadi
506,Satara,Khataw,Pandharwadi
507,Satara,Khataw,Budh
508,Satara,Khataw,Vetane
509,Satara,Khataw,Ransingwadi
510,Satara,Khataw,Pangarkhel
511,Satara,Khataw,Katewadi
512,Satara,Khataw,Phadtarwadi (Budh)
513,Satara,Khataw,Nidhal
514,Satara,Khataw,Katalgewadi
515,Satara,Khataw,Rajapur
516,Satara,Khataw,Khatav
517,Satara,Khataw,Daruj
518,Satara,Khataw,Sudarpur
519,Satara,Khataw,Dharpudi
520,Satara,Khataw,Darjai
521,Satara,Khataw,Khatgun
522,Satara,Khataw,Bhandewadi
523,Satara,Khataw,Jakhangaon
524,Satara,Khataw,Ramoshiwadi
525,Satara,Khataw,Amalewadi
526,Satara,Khataw,Gadewadi
527,Satara,Khataw,Katgun
528,Satara,Khataw,Umbarmale
529,Satara,Khataw,Jamb
530,Satara,Khataw,Rameshwar
